timestamp	datetime	country	TotalCases	TotalDeaths	TotalRecovered	TotalActive	TotalSerious
20200301234648	2020-03-01 23:46:48	Czechia	3	0	0	3	0
20200302224751	2020-03-02 22:47:51	Czechia	3	0	0	3	0
20200303231332	2020-03-03 23:13:32	Czechia	5	0	0	5	0
20200304230748	2020-03-04 23:07:48	Czechia	8	0	0	8	0
20200305224916	2020-03-05 22:49:16	Czechia	12	0	0	12	0
20200306224331	2020-03-06 22:43:31	Czechia	19	0	0	19	0
20200307225610	2020-03-07 22:56:10	Czechia	26	0	0	26	0
20200308232251	2020-03-08 23:22:51	Czechia	32	0	0	32	0
20200309234747	2020-03-09 23:47:47	Czechia	38	0	0	38	0
20200310233243	2020-03-10 23:32:43	Czechia	63	0	0	63	0
20200311234701	2020-03-11 23:47:01	Czechia	94	0	0	94	0
20200312233926	2020-03-12 23:39:26	Czechia	113	0	0	113	0
20200313235940	2020-03-13 23:59:40	Czechia	141	0	0	141	2
20200314235906	2020-03-14 23:59:06	Czechia	189	0	0	189	2
20200315231920	2020-03-15 23:19:20	Czechia	293	0	0	293	2
20200316232604	2020-03-16 23:26:04	Czechia	344	0	3	341	2
20200317234753	2020-03-17 23:47:53	Czechia	434	0	3	431	2
20200318234401	2020-03-18 23:44:01	Czechia	434	0	3	431	2
20200319131523	2020-03-19 13:15:23	Czechia	522	0	3	519	5
20200320120009	2020-03-20 12:00:09	Czechia	694	0	3	691	6
20200321120003	2020-03-21 12:00:03	Czechia	833	0	4	829	6
20200322120004	2020-03-22 12:00:04	Czechia	995	0	6	989	7
20200323120003	2020-03-23 12:00:03	Czechia	1120	1	6	1113	19
20200324120004	2020-03-24 12:00:04	Czechia	1236	1	7	1228	19
20200325120004	2020-03-25 12:00:04	Czechia	1394	3	10	1381	19
20200326120004	2020-03-26 12:00:04	Czechia	1654	6	10	1638	19
20200327120003	2020-03-27 12:00:03	Czechia	1925	9	10	1906	34
20200328000003	2020-03-28 00:00:03	Czechia	1925	9	10	1906	34
20200330165358	2020-03-30 16:53:58	Czechia	2817	16	11	2790	45
20200331120003	2020-03-31 12:00:03	Czechia	3001	23	25	2953	52
20200401120003	2020-04-01 12:00:03	Czechia	3308	31	45	3232	64
20200402120004	2020-04-02 12:00:04	Czechia	3589	39	61	3489	70
20200403120003	2020-04-03 12:00:03	Czechia	3858	44	67	3747	72
20200404120004	2020-04-04 12:00:04	Czechia	4190	53	72	4065	77
20200405120003	2020-04-05 12:00:03	Czechia	4472	59	78	4335	87
20200406120003	2020-04-06 12:00:03	Czechia	4587	67	96	4424	86
